flow_id,src_ip,src_port,dst_ip,dst_port,protocol,bytes_sent,bytes_received,packets_sent,packets_received,duration_sec,is_internal_traffic,user_agent,url,attack_type,label
FLOW-100054,45.33.32.156,35783,192.168.10.40,21,TCP,56,12,1,1,5.322,0,Unknown,/,Port-Scan,1
FLOW-100055,192.168.10.40,54828,192.168.10.55,4840,TCP,3492,8695,27,138,5.145,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100056,192.168.10.55,44853,192.168.10.40,443,TCP,2354,9745,28,133,8.389,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100057,172.16.5.108,47095,10.0.1.10,443,TCP,2333,10972,23,127,4.204,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100058,192.168.10.55,9068,10.0.1.5,80,TCP,2705,10995,20,93,1.459,1,Edge/120.0,,Benign,0
FLOW-100059,192.168.10.15,5304,192.168.10.55,443,TCP,1403,3418,16,35,7.527,1,Mozilla/5.0,,Benign,0
FLOW-100060,172.16.5.101,3526,192.168.10.55,80,TCP,499,2802,3,42,7.855,1,OPC-UA-Stack/1.4,/historian/view,Benign,0
FLOW-100061,203.0.113.45,9467,192.168.10.40,22,TCP,1194,857,9,8,9.52,0,paramiko/3.4,/,Brute-Force,1
FLOW-100062,194.26.29.112,54314,10.0.1.25,445,TCP,957,781,6,6,5.347,0,Hydra/9.5,/login,Brute-Force,1
FLOW-100063,192.168.10.12,3433,192.168.10.40,4840,TCP,1002,1121,8,11,6.969,1,Edge/120.0,,Benign,0
FLOW-100064,192.168.10.12,54219,10.0.1.5,102,TCP,1652,5033,18,44,4.304,1,SCADA-Client/3.2,,Benign,0
FLOW-100065,185.220.101.5,23226,192.168.10.40,21,TCP,80,14,1,1,8.677,0,Nmap/7.94,,Port-Scan,1
FLOW-100066,192.168.10.55,43490,10.0.1.10,502,TCP,1171,9104,7,85,11.57,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100067,192.168.10.40,47623,192.168.10.15,80,TCP,931,8068,12,55,9.942,1,Mozilla/5.0,/historian/view,Benign,0
FLOW-100068,192.168.10.40,37970,192.168.10.55,502,TCP,2451,2234,18,17,12.227,1,SCADA-Client/3.2,/api/v1/metrics,Benign,0
FLOW-100069,203.0.113.45,59034,10.0.1.10,1433,TCP,71,1,1,1,12.196,0,zgrab/0.x,/cgi-bin/test,Port-Scan,1
FLOW-100070,45.33.32.156,15815,10.0.1.5,1433,TCP,3421,4573,36,35,7.253,0,sqlmap/1.7,/api/v1/telemetry?id=1' OR '1'='1,SQL-Injection,1
FLOW-100071,45.33.32.156,37867,192.168.10.40,8080,TCP,62,26,1,1,10.831,0,Unknown,/,Port-Scan,1
FLOW-100072,185.220.101.5,54032,192.168.10.12,22,TCP,75,27,1,1,12.401,0,Unknown,/cgi-bin/test,Port-Scan,1
FLOW-100073,192.168.10.55,12743,192.168.10.40,502,TCP,3105,11476,39,83,9.999,1,Mozilla/5.0,/historian/view,Benign,0
FLOW-100074,185.220.101.5,61802,192.168.10.15,8080,TCP,100,16,1,1,5.95,0,zgrab/0.x,/,Port-Scan,1
FLOW-100075,172.16.5.210,22282,10.0.1.25,4840,TCP,3272,7959,32,68,4.718,1,SCADA-Client/3.2,/historian/view,Benign,0
FLOW-100076,185.220.101.5,31459,192.168.10.55,21,TCP,108,36,1,1,4.619,0,Unknown,/login,Port-Scan,1
FLOW-100077,192.168.10.40,21924,192.168.10.12,102,UDP,523,2413,7,27,6.033,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100078,198.51.100.89,14042,192.168.10.55,21,TCP,68,3,1,1,10.975,0,Masscan/1.3,/cgi-bin/test,Port-Scan,1
FLOW-100079,192.168.10.12,29754,192.168.10.55,80,TCP,342,2734,4,19,12.267,1,Mozilla/5.0,,Benign,0
FLOW-100080,45.33.32.156,27513,192.168.10.12,443,TCP,3918,2888,52,19,2.029,0,python-requests/2.31.0,/api/v1/telemetry?id=1' OR '1'='1,SQL-Injection,1
FLOW-100081,198.51.100.89,36892,192.168.10.15,80,TCP,93,40,1,1,2.808,0,Masscan/1.3,/login,Port-Scan,1
FLOW-100082,45.33.32.156,42423,192.168.10.15,23,TCP,98,56,1,1,10.478,0,zgrab/0.x,/cgi-bin/test,Port-Scan,1
FLOW-100083,192.168.10.12,18842,10.0.1.25,102,TCP,2257,10365,26,91,0.709,1,Edge/120.0,,Benign,0
FLOW-100084,194.26.29.112,30301,10.0.1.5,502,TCP,4214,1383,37,15,12.273,0,Custom-POC/1.0,/cgi-bin/test,Exploit-Attempt,1
FLOW-100085,172.16.5.101,15929,10.0.1.25,80,TCP,1025,3980,8,29,9.957,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100086,192.168.10.12,24278,192.168.10.15,102,TCP,2895,10601,38,160,4.585,1,Edge/120.0,/api/v1/metrics,Benign,0
FLOW-100087,172.16.5.101,24155,192.168.10.15,502,TCP,709,2079,5,15,11.141,1,Edge/120.0,/historian/view,Benign,0
FLOW-100088,172.16.5.210,48375,192.168.10.15,443,UDP,1969,673,31,7,12.017,1,Mozilla/5.0,,Benign,0
FLOW-100089,194.26.29.112,53432,192.168.10.12,445,TCP,716,666,9,9,7.174,0,Unknown,,Brute-Force,1
FLOW-100090,192.168.10.55,63173,192.168.10.40,502,TCP,965,10532,8,96,3.488,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
FLOW-100091,185.220.101.5,47851,192.168.10.55,3389,TCP,45,1,1,1,9.532,0,Nmap/7.94,/login,Port-Scan,1
FLOW-100092,194.26.29.112,15931,10.0.1.5,22,TCP,84,51,1,1,1.365,0,Masscan/1.3,,Port-Scan,1
FLOW-100093,192.168.10.15,28240,192.168.10.40,443,TCP,1187,1092,10,7,0.194,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100094,172.16.5.210,19921,10.0.1.25,502,TCP,3383,10712,24,96,4.883,1,Edge/120.0,/dashboard/scada,Benign,0
FLOW-100095,198.51.100.89,61452,10.0.1.25,443,TCP,1653,1932,14,31,6.337,0,python-requests/2.31.0,/auth/login?u=admin'--,SQL-Injection,1
FLOW-100096,172.16.5.102,45179,192.168.10.40,502,TCP,2808,6872,27,66,5.665,1,Mozilla/5.0,,Benign,0
FLOW-100097,185.220.101.5,46245,192.168.10.12,3306,TCP,84,40,1,1,5.453,0,Unknown,/,Port-Scan,1
FLOW-100098,198.51.100.22,1157,10.0.1.10,445,TCP,73,34,1,1,6.852,0,Masscan/1.3,/cgi-bin/test,Port-Scan,1
FLOW-100099,203.0.113.45,22431,10.0.1.25,3306,TCP,84,42,1,1,0.28,0,Unknown,/login,Port-Scan,1
FLOW-100100,198.51.100.89,21317,192.168.10.40,1433,TCP,55,20,1,1,7.679,0,Unknown,,Port-Scan,1
FLOW-100101,172.16.5.108,1229,192.168.10.12,102,TCP,557,9191,8,86,4.392,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100102,192.168.10.15,2191,192.168.10.55,443,TCP,2350,2374,20,27,9.615,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100103,172.16.5.101,22874,10.0.1.25,443,TCP,1177,4527,10,30,8.927,1,SCADA-Client/3.2,/historian/view,Benign,0
FLOW-100104,203.0.113.45,4511,192.168.10.55,445,TCP,5783,789,48,9,10.229,0,Custom-POC/1.0,/,Exploit-Attempt,1
FLOW-100105,192.168.10.15,43099,192.168.10.40,4840,TCP,2298,10233,15,100,1.856,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100106,172.16.5.101,7196,192.168.10.55,443,UDP,1360,8659,12,92,6.271,1,OPC-UA-Stack/1.4,/historian/view,Benign,0
FLOW-100107,172.16.5.210,25430,192.168.10.15,443,UDP,2163,1122,26,11,6.647,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100108,203.0.113.45,62206,10.0.1.25,22,TCP,1186,370,7,2,7.23,0,Hydra/9.5,/cgi-bin/test,Brute-Force,1
FLOW-100109,172.16.5.101,6822,192.168.10.55,502,TCP,668,3618,9,42,7.989,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100110,185.220.101.5,48177,192.168.10.12,3306,TCP,82,2,1,1,6.176,0,zgrab/0.x,,Port-Scan,1
FLOW-100111,194.26.29.112,6574,10.0.1.25,445,TCP,1300,484,16,5,9.058,0,Unknown,/cgi-bin/test,Brute-Force,1
FLOW-100112,45.33.32.156,4334,10.0.1.5,3389,TCP,63,12,1,1,5.827,0,Nmap/7.94,/login,Port-Scan,1
FLOW-100113,192.168.10.12,5033,192.168.10.40,443,UDP,1592,746,15,10,5.122,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100114,198.51.100.89,10983,192.168.10.15,3389,TCP,1424,808,11,5,4.425,0,paramiko/3.4,/cgi-bin/test,Brute-Force,1
FLOW-100115,203.0.113.45,48445,192.168.10.55,22,TCP,46,27,1,1,5.96,0,zgrab/0.x,/login,Port-Scan,1
FLOW-100116,172.16.5.102,3473,10.0.1.25,102,UDP,2905,8195,39,115,4.89,1,Edge/120.0,/historian/view,Benign,0
FLOW-100117,203.0.113.45,7978,10.0.1.25,80,TCP,3463,7973,30,109,9.572,0,python-requests/2.31.0,/auth/login?u=admin'--,SQL-Injection,1
FLOW-100118,45.33.32.156,36257,10.0.1.5,3306,TCP,1381,3179,15,25,3.389,0,Mozilla/5.0,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100119,172.16.5.101,18149,192.168.10.15,443,TCP,3120,7267,24,71,2.735,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100120,172.16.5.102,50303,192.168.10.15,443,TCP,1386,10551,9,170,4.819,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100121,45.33.32.156,57899,192.168.10.40,502,TCP,43,24,1,1,5.839,0,Masscan/1.3,/login,Port-Scan,1
FLOW-100122,198.51.100.22,17133,10.0.1.25,3306,TCP,2612,8196,25,126,6.091,0,Mozilla/5.0,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100123,172.16.5.108,58775,192.168.10.55,102,TCP,2120,6115,15,60,12.456,1,Mozilla/5.0,,Benign,0
FLOW-100124,192.168.10.12,19048,192.168.10.12,443,TCP,570,519,5,7,4.989,1,OPC-UA-Stack/1.4,/historian/view,Benign,0
FLOW-100125,192.168.10.12,53578,192.168.10.12,443,TCP,1203,5626,8,45,3.437,1,Edge/120.0,/dashboard/scada,Benign,0
FLOW-100126,172.16.5.108,35821,192.168.10.12,502,TCP,1129,5340,12,42,11.907,1,Mozilla/5.0,/historian/view,Benign,0
FLOW-100127,203.0.113.45,34392,192.168.10.40,23,TCP,113,17,1,1,0.101,0,zgrab/0.x,/cgi-bin/test,Port-Scan,1
FLOW-100128,172.16.5.102,5887,192.168.10.55,443,TCP,2758,11038,21,82,7.058,1,Mozilla/5.0,,Benign,0
FLOW-100129,198.51.100.89,7305,10.0.1.10,22,TCP,63,27,1,1,2.393,0,Nmap/7.94,/login,Port-Scan,1
FLOW-100130,192.168.10.12,56448,192.168.10.55,502,TCP,2270,11763,22,87,10.648,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100131,192.168.10.40,28271,10.0.1.5,443,UDP,2125,3590,14,34,3.674,1,SCADA-Client/3.2,,Benign,0
FLOW-100132,192.168.10.40,12554,10.0.1.25,102,UDP,799,9736,9,104,3.723,1,Mozilla/5.0,,Benign,0
FLOW-100133,203.0.113.45,45554,10.0.1.25,502,TCP,5981,1155,72,7,9.79,0,Metasploit/6.3,/,Exploit-Attempt,1
FLOW-100134,172.16.5.210,26194,10.0.1.25,80,TCP,1902,3899,21,33,2.369,1,OPC-UA-Stack/1.4,,Benign,0
FLOW-100135,192.168.10.55,19298,192.168.10.12,80,UDP,3165,7251,51,51,12.113,1,OPC-UA-Stack/1.4,,Benign,0
FLOW-100136,194.26.29.112,30344,192.168.10.12,3306,TCP,56,11,1,1,9.185,0,Masscan/1.3,/,Port-Scan,1
FLOW-100137,172.16.5.102,43462,192.168.10.40,502,UDP,3225,9497,22,75,9.046,1,OPC-UA-Stack/1.4,/api/v1/metrics,Benign,0
FLOW-100138,185.220.101.5,18295,10.0.1.5,3389,TCP,1064,805,17,7,9.64,0,Hydra/9.5,,Brute-Force,1
FLOW-100139,192.168.10.15,26392,10.0.1.10,502,TCP,2117,2835,21,41,0.73,1,OPC-UA-Stack/1.4,,Benign,0
FLOW-100140,185.220.101.5,64964,192.168.10.55,1433,TCP,82,34,1,1,8.722,0,Nmap/7.94,/cgi-bin/test,Port-Scan,1
FLOW-100141,192.168.10.15,5545,10.0.1.25,443,TCP,531,8418,3,131,7.273,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100142,198.51.100.89,53209,10.0.1.25,1433,TCP,77,27,1,1,9.548,0,zgrab/0.x,/login,Port-Scan,1
FLOW-100143,45.33.32.156,17235,10.0.1.5,21,TCP,1014,641,8,8,1.82,0,Hydra/9.5,,Brute-Force,1
FLOW-100144,45.33.32.156,27140,10.0.1.5,443,TCP,65,17,1,1,5.074,0,Masscan/1.3,/,Port-Scan,1
FLOW-100145,172.16.5.108,11094,192.168.10.55,102,UDP,1346,1392,12,13,0.311,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100146,45.33.32.156,48119,192.168.10.12,21,TCP,659,640,9,7,0.573,0,Unknown,/login,Brute-Force,1
FLOW-100147,198.51.100.22,8071,192.168.10.15,8080,TCP,96,7,1,1,1.272,0,Masscan/1.3,/cgi-bin/test,Port-Scan,1
FLOW-100148,172.16.5.210,59568,192.168.10.12,102,UDP,1618,3056,12,36,7.745,1,OPC-UA-Stack/1.4,/historian/view,Benign,0
FLOW-100149,45.33.32.156,62512,192.168.10.15,445,TCP,1030,634,16,7,2.236,0,Unknown,/,Brute-Force,1
FLOW-100150,172.16.5.210,33025,192.168.10.15,443,UDP,1661,1789,24,15,6.968,1,Mozilla/5.0,/dashboard/scada,Benign,0
FLOW-100151,198.51.100.89,53609,192.168.10.15,443,TCP,1397,8391,9,64,5.381,0,sqlmap/1.7,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100152,192.168.10.40,1034,192.168.10.40,4840,UDP,1230,1403,10,14,7.206,1,Edge/120.0,/api/v1/metrics,Benign,0
FLOW-100153,45.33.32.156,42527,192.168.10.40,21,TCP,1068,237,9,2,4.471,0,Hydra/9.5,,Brute-Force,1
FLOW-100154,192.168.10.55,45232,192.168.10.12,102,TCP,1683,8697,17,63,1.149,1,Edge/120.0,/dashboard/scada,Benign,0
FLOW-100155,185.220.101.5,7175,10.0.1.10,80,TCP,77,56,1,1,0.254,0,zgrab/0.x,/login,Port-Scan,1
FLOW-100156,203.0.113.45,43188,192.168.10.40,21,TCP,1082,822,15,7,0.415,0,paramiko/3.4,/login,Brute-Force,1
FLOW-100157,194.26.29.112,48984,10.0.1.5,8080,TCP,6092,241,68,2,10.627,0,curl/8.4.0,/login,Exploit-Attempt,1
FLOW-100158,172.16.5.102,44445,10.0.1.5,443,TCP,1200,11424,16,148,2.711,1,Mozilla/5.0,,Benign,0
FLOW-100159,45.33.32.156,57247,192.168.10.12,3389,TCP,728,219,9,3,8.179,0,paramiko/3.4,/cgi-bin/test,Brute-Force,1
FLOW-100160,172.16.5.101,54337,192.168.10.12,443,TCP,1688,9541,24,83,4.24,1,Edge/120.0,/dashboard/scada,Benign,0
FLOW-100161,198.51.100.89,17233,192.168.10.55,21,TCP,321,440,4,3,11.54,0,Hydra/9.5,/login,Brute-Force,1
FLOW-100162,172.16.5.210,58975,192.168.10.55,102,TCP,3082,11610,23,127,1.68,1,OPC-UA-Stack/1.4,,Benign,0
FLOW-100163,172.16.5.210,21914,10.0.1.5,80,TCP,2852,2231,22,22,6.196,1,SCADA-Client/3.2,,Benign,0
FLOW-100164,203.0.113.45,24746,192.168.10.40,21,TCP,91,27,1,1,11.35,0,Masscan/1.3,,Port-Scan,1
FLOW-100165,172.16.5.102,42641,192.168.10.12,102,TCP,1363,7284,9,117,5.485,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
FLOW-100166,198.51.100.89,3899,10.0.1.5,443,TCP,66,18,1,1,7.557,0,Masscan/1.3,/login,Port-Scan,1
FLOW-100167,192.168.10.15,45706,10.0.1.5,502,UDP,770,11424,6,115,8.473,1,Edge/120.0,/historian/view,Benign,0
FLOW-100168,192.168.10.12,20084,192.168.10.12,80,TCP,2477,2368,19,20,11.564,1,Edge/120.0,,Benign,0
FLOW-100169,198.51.100.89,60329,192.168.10.15,3306,TCP,76,14,1,1,6.465,0,Unknown,,Port-Scan,1
FLOW-100170,198.51.100.22,48233,10.0.1.10,8080,TCP,3096,7702,21,75,7.564,0,Mozilla/5.0,/api/v1/telemetry?id=1' OR '1'='1,SQL-Injection,1
FLOW-100171,198.51.100.89,49538,10.0.1.25,3389,TCP,597,481,4,4,5.021,0,Unknown,/cgi-bin/test,Brute-Force,1
FLOW-100172,192.168.10.15,32177,10.0.1.10,102,TCP,3070,9408,25,71,12.207,1,Mozilla/5.0,,Benign,0
FLOW-100173,203.0.113.45,13516,192.168.10.55,80,TCP,82,1,1,1,7.631,0,Masscan/1.3,/cgi-bin/test,Port-Scan,1
FLOW-100174,172.16.5.101,60940,10.0.1.10,443,UDP,1838,5401,16,39,4.873,1,OPC-UA-Stack/1.4,/historian/view,Benign,0
FLOW-100175,192.168.10.40,53132,10.0.1.5,443,UDP,347,9837,5,67,2.687,1,OPC-UA-Stack/1.4,/historian/view,Benign,0
FLOW-100176,198.51.100.22,32157,10.0.1.10,1433,TCP,2678,6668,20,81,8.596,0,python-requests/2.31.0,/historian/query?sensor=A1;DROP TABLE,SQL-Injection,1
FLOW-100177,198.51.100.22,23227,192.168.10.55,22,TCP,985,746,7,6,11.19,0,paramiko/3.4,/login,Brute-Force,1
FLOW-100178,198.51.100.22,37600,192.168.10.12,445,TCP,1181,746,17,10,1.433,0,paramiko/3.4,/,Brute-Force,1
FLOW-100179,203.0.113.45,9173,192.168.10.12,8080,TCP,112,41,1,1,5.253,0,Unknown,/login,Port-Scan,1
FLOW-100180,198.51.100.22,55791,10.0.1.10,21,TCP,771,260,7,2,5.244,0,Unknown,/,Brute-Force,1
FLOW-100181,192.168.10.40,42538,10.0.1.5,502,TCP,2375,669,18,4,5.113,1,Edge/120.0,,Benign,0
FLOW-100182,192.168.10.55,64608,192.168.10.12,502,TCP,2799,9401,35,87,1.462,1,OPC-UA-Stack/1.4,,Benign,0
FLOW-100183,192.168.10.40,33539,192.168.10.55,102,TCP,1442,3183,11,40,2.473,1,SCADA-Client/3.2,/historian/view,Benign,0
FLOW-100184,172.16.5.101,48253,192.168.10.55,80,TCP,1210,4445,15,44,5.393,1,SCADA-Client/3.2,/dashboard/scada,Benign,0
FLOW-100185,172.16.5.101,64521,192.168.10.15,443,TCP,1256,3723,15,32,10.942,1,Mozilla/5.0,/api/v1/metrics,Benign,0
FLOW-100186,172.16.5.102,42815,192.168.10.12,80,TCP,3461,6137,33,100,11.067,1,OPC-UA-Stack/1.4,/dashboard/scada,Benign,0
FLOW-100187,185.220.101.5,18628,10.0.1.25,21,TCP,990,814,11,6,8.678,0,paramiko/3.4,/cgi-bin/test,Brute-Force,1
FLOW-100188,198.51.100.22,53759,192.168.10.15,3389,TCP,67,38,1,1,10.723,0,Unknown,,Port-Scan,1
FLOW-100189,45.33.32.156,39142,192.168.10.40,3389,TCP,1393,444,18,3,1.178,0,Hydra/9.5,/,Brute-Force,1
FLOW-100190,194.26.29.112,38637,10.0.1.25,22,TCP,46,46,1,1,12.171,0,Nmap/7.94,,Port-Scan,1
